Grade,Topic,Learning Objective,English question,Answer_english
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Aarav has 125 marbles. His friend gave him 237 more. How many marbles does Aarav have now?,362 marbles
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","In a park, there are 64 rose plants and 87 sunflower plants. How many plants are there in total in the park?",151 plants
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A stationery shop sold 129 pens on Monday and 143 pens on Tuesday. How many pens did the shop sell in total?,272 pens
3,addition,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",An ice cream vendor sold 75 ice creams in the morning and 88 ice creams in the evening. How many ice creams did he sell in total?,163
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A fruit seller had 120 apples. He sold 45 apples in the morning. How many apples are left with him?,75
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Priya had 92 candies. She ate 38 candies. How many candies are left with Priya?,54
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A library had 250 books. 75 books were issued to students. How many books are left in the library?,175
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Arjun collected 134 stamps. He lost 48 stamps. How many stamps does he have now?,86
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Rohan had ₹ 275. He bought a toy for ₹ 138. How much money does he have left?,₹ 137
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","A fruit seller had 342 apples in the morning. By the evening, he sold 215 apples. How many apples are left with him?",127
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","A school library had 450 books. After donating 187 books to another school, how many books are left in the library?",263
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Sita had 325 beads for making necklaces. She used 178 beads to make some necklaces. How many beads are left?,147
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A farmer had 500 kg of rice. He sold 263 kg in the market. How much rice does he have now?,237
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",There were 180 students in a school. 65 students went on a school trip. How many students are left in the school?,115
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Ravi had 95 pencils. He gave 43 pencils to his classmates. How many pencils are left with Ravi?,52
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A shopkeeper had 200 chocolates. He sold 123 chocolates. How many chocolates are left with him?,77
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A farmer harvested 350 kg of wheat. He sold 175 kg in the market. How much wheat is left with the farmer?,175 kg
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",There were 140 chairs in an auditorium. 87 chairs were occupied during an event. How many chairs were left unoccupied?,53
3,subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Meena had ₹500. She spent ₹275 on buying groceries. How much money is left with Meena?,225
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","Ravi collected 78 stamps from one shop and 56 from another shop. How many stamps did he collect in total? If he gave 43 stamps to his friend, how many stamps are left with him?","134, 91"
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Neha had 120 chocolates. She gave 45 chocolates to her cousin and later bought 30 more. How many chocolates does Neha have now?,105
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","Priya bought 4 notebooks costing ₹120, ₹135, ₹150, and ₹100. If she gave ₹550 to the shopkeeper, how much money did she spend in total? How much money did she get back?","505, 45"
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A fruit seller had 180 apples. He sold 75 apples in the morning and 43 apples in the evening. How many apples did he sell in total? How many apples are left with him now?,"118, 62"
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A shopkeeper had 300 pencils. He sold 125 pencils on Monday and 98 pencils on Tuesday. How many pencils did he sell in total? How many pencils are left with him now?,"223, 77"
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Raj had ₹ 250. He spent ₹ 135 on a book and later received ₹ 80 from his father. How much money does Raj have now?,₹ 195
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A shopkeeper had 400 kg of rice. He sold 175 kg in the morning and bought 90 kg more in the evening. How much rice does he have now?,315
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","A school had 320 students. 85 students left the school, and later 50 new students joined the school. How many students are there in the school now?",285
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Meena had 180 pencils. She gave 95 pencils to her friends and later bought 60 more. How many pencils does Meena have now?,145
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",A company manufactured 480 tables. It sold 200 tables and then produced 150 more. How many tables does the company have now?,430
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999",Arjun scored 85 runs in the first cricket match and 78 runs in the second match. How many runs did he score in total? How many more runs did he score in the first match than in the second?,"163, 7"
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","There were 240 students in a school assembly. After the break, 85 students left the hall, and 60 new students joined. How many students are there in the assembly now?",215
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","Rohan bought 3 storybooks costing ₹150, ₹200, and ₹180. If he paid ₹600 to the shopkeeper, how much money did he spend in total? How much money did he get back?","530, 70"
3,addition and subtraction,"solves simple daily life problems using addition and subtraction of three digit numbers with and without regrouping, sums not exceeding 999","A farmer harvested 350 kg of rice from one field and 420 kg from another. If he sold 500 kg in the market, how much rice does he have left?",270
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",Seema has 4 photo albums. Each album has 7 photos. How many photos does Seema have in total?,28
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",Amit bought 3 packs of crayons. Each pack contains 9 crayons. How many crayons does Amit have in total?,27
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",There are 6 rows of chairs in the classroom. Each row has 5 chairs. How many chairs are there in total?,30
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",Priya has 7 jars. Each jar contains 4 candies. How many candies does Priya have in total?,28
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",Ravi planted 5 rows of tomato plants. Each row has 8 plants. How many tomato plants did Ravi plant in total?,40
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers","A box contains 6 toy cars. If Rohan has 3 such boxes, how many toy cars does he have in total?",18
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",Aman has 6 boxes. Each box contains 5 mangoes. How many mangoes does Aman have in total?,30
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",A teacher arranged 8 rows of chairs in the classroom. Each row has 6 chairs. How many chairs are there in total?,48
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",There are 12 flower pots in a garden. Each pot has 3 flowers. How many flowers are there in total?,36
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",A bakery sells 14 packets of biscuits every day. Each packet contains 8 biscuits. How many biscuits are sold in a day?,112
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",Riya bought 15 sets of bangles. Each set has 6 bangles. How many bangles does she have in total?,90
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",There are 13 shelves in the library. Each shelf has 7 books. How many books are there in total?,91
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",Manish bought 26 packs of biscuits. Each pack contains 6 biscuits. How many biscuits does Manish have in total?,156
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",There are 38 chairs in a room. Each chair has 4 legs. How many legs do all the chairs have in total?,152
3,multiplication,"constructs and uses the multiplication facts (tables) of 2, 3, 4, 5 and 10 in daily life situations. Multiply a 1-digit number by 1-digit or 2-digit numbers",There are 23 trays of eggs. Each tray contains 5 eggs. How many eggs are there in total?,115
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,Ravi has 24 mangoes. He wants to divide them equally among 6 friends. How many mangoes will each friend get?,4
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,A teacher has 30 chocolates. She wants to distribute them equally among 5 students. How many chocolates will each student get?,6
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,There are 18 pencils that need to be packed equally into 3 boxes. How many pencils will go in each box?,6
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,Rohan has 42 marbles. He wants to share them equally with his 7 friends. How many marbles will each friend get?,6
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,A fruit seller has 36 apples. He wants to place them equally in 4 baskets. How many apples will be there in each basket?,9
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,Meena has 20 bangles. She wants to divide them equally among 4 friends. How many bangles will each friend get?,5
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,"There are 24 ladoos to be packed equally into boxes, with 4 ladoos in each box. How many boxes will be needed?",6
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,"A carton has 30 bottles of juice. If each box can hold 5 bottles, how many boxes are needed to pack all the bottles?",6
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,Ravi has 40 toffees. He wants to divide them equally among 8 friends. How many toffees will each friend get?,5
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,"A teacher has 48 pencils. If she gives 6 pencils to each student, how many students will get pencils?",8
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,Rohan has 24 chocolates. He wants to distribute them equally among 6 friends. How many chocolates will each friend get?,4
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,A shopkeeper has 56 oranges. He packs them into bags with 8 oranges in each. How many bags does he need?,7
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,There are 36 chairs to be arranged equally in 4 rows. How many chairs will be there in each row?,9
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,A farmer has 54 apples. He wants to put them equally into 9 baskets. How many apples will each basket have?,6
3,division,explains the meaning of division facts by equal grouping/sharing and finds it by repeated subtraction. Divide a 2-digit number by 1-digit number,There are 42 students in a class. They are to be divided equally into 7 groups. How many students will be there in each group?,6
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",Aman has 10 apples. He gave half of them to his friend. How many apples did he give to his friend?,5
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",Riya has 14 pencils. She gave half of them to her brother. How many pencils did she give to her brother?,7
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",There are 20 mangoes in a basket. Raj took half of them. How many mangoes did Raj take?,10
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",Meena had 18 toffees. She ate half of them. How many toffees did Meena eat?,9
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",A box has 12 crayons. Ravi used half of them for his drawing. How many crayons did Ravi use?,6
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",Seema baked 16 cookies. She gave half of them to her friends. How many cookies did Seema give to her friends?,8
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals","Rohan has 5 pencils, and Mohan has double the number of pencils Rohan has. How many pencils does Mohan have?",10
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals","Aman has 4 chocolates, and Rahul has double the number of chocolates Aman has. How many chocolates does Rahul have?",8
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals","Priya has 6 storybooks, and Neha has double the number of storybooks Priya has. How many storybooks does Neha have?",12
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals","Ravi has 7 kites, and Soham has double the number of kites Ravi has. How many kites does Soham have?",14
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals","Anu has 8 bangles, and Tanu has double the number of bangles Anu has. How many bangles does Tanu have?",16
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals","Karan has 9 coins, and Arjun has double the number of coins Karan has. How many coins does Arjun have?",18
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",Riya has 12 candies. She gave a quarter of them to her friend. How many candies did she give to her friend?,3
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",A basket has 20 apples. Rahul ate a quarter of them. How many apples did Rahul eat?,5
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",Meena bought 16 balloons. She gave a quarter of them to her cousin. How many balloons did she give?,4
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",A box contains 24 chocolates. Aman ate a quarter of them. How many chocolates did Aman eat?,6
3,fraction,"represents the fractions as half, one fourth, three-fourths and double by using numbers/ numerals",Seema had 28 stickers. She gave a quarter of them to her friends. How many stickers did Seema give to her friends?,7
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,Neha's book is 4 handspans long. Her notebook is 3 handspans long. Her pencil box is 2 handspans long. Which item is the shortest?,Pencil box
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,A table is 8 handspans long. A bench is 6 handspans long. A stool is 4 handspans long. Which is the longest in length?,Table
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,A sari is 20 handspans long. A dupatta is 10 handspans long. A scarf is 5 handspans long. Which is the shortest and which is the longest?,"Shortest: Scarf, Longest: Sari"
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,A rope is longer than a measuring tape. A measuring tape is longer than a belt. Which object is the shortest in length?,Belt
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,A train is longer than a bus. A bus is longer than a car. Which vehicle is the shortest in length?,Car
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,"A shelf is 6 handspans long. A drawer below it is 4 handspans long.
How many handspans longer is the shelf?",2 handspans
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,Vikram measures the length of two classrooms using his strides. It takes him 8 strides to walk across Classroom A and 12 strides to walk across Classroom B. Which classroom is longer in terms of Vikram's strides?,Classroom B
3," 
 	
measurement of length",estimates and measures length and distance using standard units like centimetres or metres or non-standard units like handspans and identifies relationships,A mat in the living room is 7 handspans long. A doormat near the door is 4 handspans long. How many more handspans long is the mat compared to the doormat?,3 Handspans
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance",A watermelon is heavier than a pineapple. A pineapple is heavier than a papaya. Which fruit is the lightest?,Papaya
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance",A cat is heavier than a rabbit. A rabbit is heavier than a squirrel. Which animal is the lightest?,Squirrel
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance",A book is heavier than a notebook. A notebook is heavier than a pencil. Which object is the lightest?,Pencil
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units",A jug holds 3 litres of water. A bottle holds 2 litres. A glass holds 1 litre. Which container has the least capacity?,Glass
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units",A bucket holds 10 litres of water. A pot holds 7 litres. A mug holds 2 litres. Arrange them in order from least to greatest capacity.,Mug < Pot < Bucket
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units",Ravi’s bottle can hold more water than Meena’s bottle. Meena’s bottle can hold more than a glass. Which one holds the most water?,Ravi’s bottle
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units",A teapot holds more tea than a cup. The cup holds more than a spoon. Which one holds the most tea?,Teapot
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units",A steel pot can hold 6 cups of water. A clay pot can hold 8 cups. Which pot can hold more water?,Clay pot
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units","Asha wants to fill her flower pot by pouring water using a cup. It takes 15 cups to fill the pot. Her friend Neeraj fills a pot using the same cup, and it takes 22 cups.Whose pot has the larger capacity?",Neeraj's pot
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units",Sita fills a bucket using a mug. She needs 10 mugs of water to fill the bucket. Her brother Raju’s bucket needs 8 mugs to fill. Which bucket has more capacity?,Sita's bucket
3," 
 	
measurement of capacity","compares the capacity of different containers
in terms of non standard units or standard units",Rohan has a jug that can fill 5 glasses of water. His sister Neha has a mug that can fill 2 glasses. Whose container holds less water?,Neha's mug 
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance",A metal pot is heavier than a plastic bucket. The plastic bucket is heavier than a mug. Arrange them from lightest to heaviest.,Mug < Plastic bucket < Metal pot
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance",A mango is heavier than a banana. A banana is heavier than a plum. Which fruit is in the middle in terms of weight?,Banana
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance",A sack of wheat weighs 50 kg. A sack of rice weighs 40 kg. Which one is heavier and by how many kilograms?,Wheat is heavier by 10 kg
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance","A bag of rice weighs 5 kg, and a sack of wheat weighs 8 kg. Which one is heavier, and by how much?",Sack of wheat is heavier by 3 kg
3," 
         
measurement of weight","weighs objects using standard units– grams
and kilograms using simple balance",Riya bought a packet of biscuits weighing 250 g and a packet of namkeen weighing 500 g. Which packet is heavier?,Namkeen
3,Calendar,identifies a particular day and date on a calendar,Today is January 10. Republic Day in India is celebrated on January 26. How many days are left until Republic Day?,16 days
3,Calendar,identifies a particular day and date on a calendar,A school in Delhi closes for summer vacation on May 15 and reopens on July 1. How many days long is the summer vacation?,47 days
3,Calendar,identifies a particular day and date on a calendar,Amit’s birthday is on 02/04/2015. In which month was he born?,April
3,Calendar,identifies a particular day and date on a calendar,Anil's birthday is on 6/7/2015. How old will Anil be on 6 July 2025?,10 years
3,Calendar,identifies a particular day and date on a calendar,Riya’s school gives holidays for Diwali from November 1 to November 10. How many days does Riya get for her Diwali holidays?,10 days
3,Calendar,identifies a particular day and date on a calendar,A science exhibition begins on January 5 and continues for 12 days. On which date will the exhibition end?,January 16
3,Calendar,identifies a particular day and date on a calendar,"This year, Raksha Bandhan falls on August 19. If today is August 5, how many days are left until Raksha Bandhan?",14 days
3,Calendar,identifies a particular day and date on a calendar,A cricket tournament starts on December 10 and lasts for 18 days. On which date will the tournament end?,December 27
3,Calendar,identifies a particular day and date on a calendar,Riya’s final exams start on March 4 and end on March 15. How many days long is her exam period?,12 days
3,time,reads the time correctly to the hour using a clock/watch,Rahul started doing his homework at 4:30 in the evening. He finished at 5:15 in the evening. How much time did he take to complete his homework?,45 minutes
3,time,reads the time correctly to the hour using a clock/watch,A football match started at 3:20 PM and ended at 4:05 PM. How long did the match last?,45 minutes
3,time,reads the time correctly to the hour using a clock/watch,A cake was placed in the oven at 2:10 PM. It took 35 minutes to bake. At what time was the cake ready?,2:45 PM
3,time,reads the time correctly to the hour using a clock/watch,A school assembly starts at 8:00 AM and ends at 8:25 AM. How long does the assembly last?,25 minutes
3,time,reads the time correctly to the hour using a clock/watch,Kunal started playing at 6:10 PM. He played for 50 minutes. At what time did he stop playing?,7:00 PM
3,time,reads the time correctly to the hour using a clock/watch,Arjun left for school at 7:45 AM. He reached school at 8:20 AM. How much time did he take to reach school?,35 minutes
3,time,reads the time correctly to the hour using a clock/watch,Neha started playing at 3:15 PM and stopped at 4:00 PM. How long did she play?,45 minutes
3,time,reads the time correctly to the hour using a clock/watch,Ramesh started reading a book at 2:10 PM. He finished at 3:00 PM. How much time did he spend reading?,50 minutes
3,time,reads the time correctly to the hour using a clock/watch,Sita started cooking at 5:30 PM and finished at 6:20 PM. How long did she take to cook?,50 minutes
3,time,reads the time correctly to the hour using a clock/watch,Meena started painting at 10:20 AM. She finished at 11:05 AM. How much time did she take to complete her painting?,45 minutes
3,time,reads the time correctly to the hour using a clock/watch,The school assembly started at 8:15 AM and ended at 8:35 AM. How long did the assembly last?,20 minutes
3,Pattern,extends patterns in numbers,"Riya is arranging mangoes in a pattern: 1 mango, 3 mangoes, 5 mangoes, 7 mangoes… How many mangoes will she place next?",9 mangoes
